[[FileID]],[[Group]],[[Key]],[[English]],[[Japanese]]
Terraria.Localization.Content.en-US.Game,WorldGeneration,OceanSand,Generating ocean sand,★海の砂の生成
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,1,"Other players can loot your chests! If you don't trust them, use a Safe or Piggy Bank; those items have storage that is exclusive to each player.",★他のプレイヤーがあなたの胸を略奪することができます！あなたがそれらを信頼していない場合は、安全や貯金箱を使用します。これらの項目は、各プレイヤーに排他的であるストレージを持っています。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,2,Info accessories don't need to be equipped to provide you and nearby friends with useful information; you can just leave them in your Inventory.,★情報のアクセサリーは、有用な情報をあなたと近くの友人を提供するために装備する必要はありません。あなたは自分のインベントリにそれらを残すことができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,3,Rope can really help you get around while exploring caves. You can even craft it into a Rope Coil which can be thrown and automatically unfolds!,★ロープは本当にあなたが洞窟を探検しながら、周りに得るのを助けることができます。あなたも、スローと自動的に展開することができロープコイルにそれを作ることができます！
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,4,Mushroom Biomes can be grown above ground as well as below. Friendly Truffles will sometimes make themselves at home in Surface Mushroom Biomes.,★きのこバイオームは、だけでなく、以下のように地面の上に成​​長させることができます。フレンドリートリュフは時々表面きのこバイオームで自宅で自分自身を行います。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,5,You can change your spawn point by placing and using a bed.,★あなたはベッドを配置し、使用して産卵ポイントを変更することができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,6,"If you find a Magic Mirror, you can use it to teleport back to your spawn point.",★あなたは魔法の鏡を見つけた場合、あなたはあなたのスポーンポイントに戻ってテレポートするためにそれを使用することができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,7,There are Floating Islands in the sky.,★空に浮かぶ島々があります。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,8,Sometimes you can find NPCs hidden around the World.,★時にはあなたは、世界中の隠されたNPCを見つけることができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,9,"During a Blood Moon, Zombies can open doors.",★ブラッド・ムーンの間に、ゾンビがドアを開くことができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,10,Water will break your fall.,★水はあなたの秋を中断します。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,11,"Torches and Glowsticks can be a light for you in dark places when all other lights go out. Torches won't work underwater, but Glowsticks will.",★他のすべてのライトが出て行くときにトーチとGlowsticksは、暗い場所であなたのための光することができます。トーチは、作業水中ではありませんが、Glowsticksはなります。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,12,Don't fall into lava without drinking an Obsidian Skin Potion first!,★最初の黒曜石スキンポーションを飲むことなく、溶岩に落ちてはいけません！
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,13,You won't take falling damage if you have a Lucky Horseshoe. Look for them on Floating Islands.,★あなたはラッキーホースシューを持っている場合は、落下ダメージを受けないであろう。浮島上でそれらを探してください。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,14,Walking on Hellstone and Meteorite can burn you! Protect yourself by equipping an Obsidian Skull or similar accessory.,★Hellstoneと隕石の上を歩くことはあなたを書き込むことができます！オブシディアンスカルまたは類似のアクセサリを装備することによって自分自身を保護します。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,15,Life Crystals are hidden around the World. Use them to increase your health.,★ライフ結晶は、世界中の隠されています。あなたの健康を向上させるためにそれらを使用してください。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,16,Torches require Wood and Gel to craft. Gel can be obtained by defeating slimes.,★トーチは、工芸品に木材やジェルを必要とします。ジェルは、スライムを倒すことによって得ることができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,17,Some ores require better pickaxes to mine.,★いくつかの鉱石は、鉱山へのより良いつるはしが必要です。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,18,Bosses are easier to defeat with friends.,★ボスは友人と敗北に簡単です。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,19,Bows and guns require the proper ammo in your Ammo Slots.,★弓と銃はあなたの弾薬スロットで適切な弾薬を必要とします。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,20,The Old Man at the Dungeon is a Clothier. If only someone could lift his curse...,★ダンジョンの老人はClothierです。唯一の誰かが彼の呪いを持ち上げることができれば...
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,21,"Merchants love money. If you save up enough, one might move in!",★商人はお金が大好きです。あなたは十分にまで保存した場合、1は内移動かもしれません！
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,22,Keep an explosive in your inventory or a storage container to attract a Demolitionist to your house.,★あなたの家にDemolitionistを引き付けるためにあなたの在庫や保管容器に爆発物を保管してください。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,23,"Make sure you have valid housing with empty rooms, and you may attract new inhabitants to your World.",★あなたは空の部屋で、有効な住宅を持っている、そして、あなたの世界に新しい住民を誘致することを確認してください。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,24,"When exploring, it helps to keep some Platforms on hand. They can be crafted from numerous materials such as Wood, Glass, or even Bones.",★模索するとき、それは一方で、いくつかのプラットフォームを維持するのに役立ちます。彼らは、木材、ガラス、あるいは骨など多くの材料から作られたことができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,25,"Slay a boss to attract a Dryad to your house. She can tell you the state of Corruption, Crimson, and Hallow in your World.",★あなたの家にドライアドを誘致するためのボスを殺します。彼女があなたの世界にあなたの破損、クリムゾン、およびハローの状態を伝えることができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,26,Advanced players may wish to remap their buttons; you can do this from the Controls Menu in Settings.,★高度なプレーヤーは彼らのボタンを再マップすることを望むかもしれません。 [設定]のコントロールメニューからこれを行うことができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,27,Wear a Mining Helmet if you don't want to use Torches.,★あなたがトーチを使用しない場合は、鉱業ヘルメットを着用してください。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,28,You can wear Buckets on your head!,★あなたは、あなたの頭の上にバケツを着ることができます！
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,29,Defeat the boss in The Underworld to change the World forever. Find a Guide Voodoo Doll and hurl it into the infernal lava to summon him.,★永遠に世界を変更するにはザ・アンダーワールドでボスを倒します。ガイドブードゥー人形を見つけ、彼を召喚するために地獄の溶岩にそれを投げます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,30,Demon Altars and Crimson Altars can't be destroyed with a normal hammer. You have to pwn them.,★悪魔祭壇とクリムゾン祭壇は通常のハンマーで破壊することはできません。あなたはそれらをPWNする必要があります。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,31,Killing Bunnies is cruel. Period.,★ウサギを殺すことは残酷です。限目。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,32,Falling Stars sometimes appear at night. Collect 3 of them to craft a Mana Crystal you can use to increase your Mana.,★フォーリングスターは時々夜に表示されます。マナクリスタルあなたのマナを高めるために使用することができますを作るためにそれらの3を収集します。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,33,Watch out for Meteorites!,★隕石に気をつけろ！
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,34,A pet can be your best friend.,★ペットはあなたの親友ことができます。
Terraria.Localization.Content.en-US.Game,LoadingTips_Default,35,"If you dig deep enough, you'll end up in The Underworld!",★あなたが深く十分に掘る場合は、アンダーワールドに終わるだろう！
